indicator	area_name	area_code	area_type	year	measure	lower_confidence_interval	upper_confidence_interval
Alcohol-related hospital admissions	Stirling	S12000030	Council area	2013	455.65	411.2	503.54
Alcohol-related hospital admissions	Stirling	S12000030	Council area	2014	365.79	326.8	408.1
Alcohol-related hospital admissions	Stirling	S12000030	Council area	2015	423.19	381.08	468.63
Alcohol-related hospital admissions	Stirling	S12000030	Council area	2016	388.79	348.63	432.26
Alcohol-related hospital admissions	Stirling	S12000030	Council area	2017	413.45	372.22	457.96
Alcohol-related hospital admissions	Stirling	S12000030	Council area	2018	429.64	387.43	475.15
Alcohol-related hospital admissions	Stirling	S12000030	Council area	2019	320.61	284.86	359.58
Alcohol-related hospital admissions	West Dunbartonshire	S12000039	Council area	2010	1247.97	1173.47	1325.92
Alcohol-related hospital admissions	West Dunbartonshire	S12000039	Council area	2011	1027.36	960.42	1097.67
Alcohol-related hospital admissions	West Dunbartonshire	S12000039	Council area	2012	911.48	848.42	977.95
Alcohol-related hospital admissions	West Dunbartonshire	S12000039	Council area	2013	979.85	912.9	1050.33
Alcohol-related hospital admissions	West Dunbartonshire	S12000039	Council area	2014	950.79	885.28	1019.81
Alcohol-related hospital admissions	West Dunbartonshire	S12000039	Council area	2015	1057.56	989.07	1129.49
Alcohol-related hospital admissions	West Dunbartonshire	S12000039	Council area	2016	1096.6	1027.34	1169.26
Alcohol-related hospital admissions	West Dunbartonshire	S12000039	Council area	2017	1053.59	985.4	1125.2
Alcohol-related hospital admissions	West Dunbartonshire	S12000039	Council area	2018	1005.56	939.73	1074.73
Alcohol-related hospital admissions	West Dunbartonshire	S12000039	Council area	2019	1075.35	1006.14	1148
Alcohol-related hospital admissions	West Lothian	S12000040	Council area	2010	723.4	682.54	766.03
Alcohol-related hospital admissions	West Lothian	S12000040	Council area	2011	768.97	726.76	812.95
Alcohol-related hospital admissions	West Lothian	S12000040	Council area	2012	737.79	695.79	781.6
Alcohol-related hospital admissions	West Lothian	S12000040	Council area	2013	642.28	604.06	682.25
Alcohol-related hospital admissions	West Lothian	S12000040	Council area	2014	644.98	607.3	684.36
Alcohol-related hospital admissions	West Lothian	S12000040	Council area	2015	644.47	607.08	683.56
Alcohol-related hospital admissions	West Lothian	S12000040	Council area	2016	658.59	620.3	698.6
Alcohol-related hospital admissions	West Lothian	S12000040	Council area	2017	595.18	559.35	632.69
Alcohol-related hospital admissions	West Lothian	S12000040	Council area	2018	617.29	580.91	655.33
Alcohol-related hospital admissions	West Lothian	S12000040	Council area	2019	593.01	557.38	630.31
